participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.age,player.gender,player.profession,player.difficult,player.performed_well,player.interesting,player.feel_time_pressure,player.need_work_fast,player.feel_hurried_rushed,player.total_task_time,player.relevant_marks,player.marked_as_relevant,player.queries_issued,player.documents_viewed,player.serps_viewed,player.document_view_time,player.serp_view_time,player.hover_depth,player.current_hover_depth,player.topicname,player.topicdes,player.topicnar,player.treatment,player.subsession_id,player.group_id,player.payoff,group.id_in_subsession,group.subsession_id,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
11,ocl82xex,,0,3,3,time_pressure,1,Questionnaire,80.114.173.211,2018-04-03 16:24:18.732853+00:00,1,,,0,11,,,,,,,,,,11,,0,2,0,3,0,6803,0.0,1.0,Piracy,"What modern instances have there been of old fashioned piracy, the boarding or taking control of boats?","Documents discussing piracy on any body of water are relevant.  Documents discussing the legal taking of ships or their contents by a national authority are non-relevant.  Clashes between fishing vessels over fishing are not relevant, unless one vessel is boarded.",0,2,2,0,1,2,1,juuma90u,apone,,,,,0
12,93zm3929,,0,1,3,time_pressure,1,Introduction,145.94.180.206,2018-04-03 16:25:18.128752+00:00,1,,,0,12,,,,,,,,,,,,,,,,,,,,Population Growth,What measures have been taken worldwide and what countries have been effective in curbing population growth?,"A relevant document must describe an actual case in which population measures have been taken and their results are known. The reduction measures must have been actively pursued; that is, passive events such as disease or famine involuntarily reducing the population are not relevant.",0,2,2,0,1,2,1,juuma90u,apone,,,,,0
13,e9tr8oof,,0,3,3,time_pressure,1,Questionnaire,145.94.180.206,2018-04-03 16:25:34.761820+00:00,1,,,0,13,,,,,,,,,,35,",XIE20000322.0059",1,1,2,1,9403,4101,0.0,0.476351351351351,Wildlife Extinction,The spotted owl episode in America highlighted U.S. efforts to prevent the extinction of wildlife species. What is not well known is the effort of other countries to prevent the demise of species native to their countries. What other countries have begun efforts to prevent such declines?,"A relevant item will specify the country, the involved species, and steps taken to save the species.",0,2,2,0,1,2,1,juuma90u,apone,,,,,0
14,7ryq4u3u,,0,1,3,time_pressure,1,Introduction,145.94.180.206,2018-04-03 16:27:48.419064+00:00,1,,,0,14,,,,,,,,,,,,,,,,,,,,Journalist Risk,"Identify instances where a journalist has been put at risk (e.g., killed, arrested or taken hostage) in the performance of his work.","Any document identifying an instance where a journalist or correspondent has been killed, arrested or taken hostage in the performance of his work is relevant.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
15,5dr1mpp5,,0,1,3,time_pressure,1,Introduction,145.94.180.206,2018-04-03 16:28:04.108480+00:00,1,,,0,15,,,,,,,,,,,,,,,,,,,,Piracy,"What modern instances have there been of old fashioned piracy, the boarding or taking control of boats?","Documents discussing piracy on any body of water are relevant.  Documents discussing the legal taking of ships or their contents by a national authority are non-relevant.  Clashes between fishing vessels over fishing are not relevant, unless one vessel is boarded.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
16,cd3hml9y,,0,1,3,time_pressure,1,Introduction,145.94.183.144,2018-04-04 12:50:03.116558+00:00,1,,,0,16,,,,,,,,,,,,,,,,,,,,Population Growth,What measures have been taken worldwide and what countries have been effective in curbing population growth?,"A relevant document must describe an actual case in which population measures have been taken and their results are known. The reduction measures must have been actively pursued; that is, passive events such as disease or famine involuntarily reducing the population are not relevant.",0,2,2,0,1,2,1,juuma90u,apone,,,,,0
17,0dovusuz,,0,1,3,time_pressure,1,Introduction,145.94.183.144,2018-04-04 12:50:16.728002+00:00,1,,,0,17,,,,,,,,,,,,,,,,,,,,Wildlife Extinction,The spotted owl episode in America highlighted U.S. efforts to prevent the extinction of wildlife species. What is not well known is the effort of other countries to prevent the demise of species native to their countries. What other countries have begun efforts to prevent such declines?,"A relevant item will specify the country, the involved species, and steps taken to save the species.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
18,kous8wzv,,0,4,3,time_pressure,1,Questionnaire,88.202.161.242,2018-04-04 17:38:33.983643+00:00,1,,,0,18,30,male,student,1,6,4,2,3,5,76,",APW19980828.1026",1,3,1,3,23039,18005,0.0,0.0,Journalist Risk,"Identify instances where a journalist has been put at risk (e.g., killed, arrested or taken hostage) in the performance of his work.","Any document identifying an instance where a journalist or correspondent has been killed, arrested or taken hostage in the performance of his work is relevant.",0,2,2,0,1,2,1,juuma90u,apone,,,,,0
19,jlm862zm,,0,3,3,time_pressure,1,Questionnaire,88.202.161.242,2018-04-04 17:43:46.354337+00:00,1,,,0,19,,,,,,,,,,78,",XIE19970819.0173",1,1,1,1,5501,32601,0.0,1.0,Piracy,"What modern instances have there been of old fashioned piracy, the boarding or taking control of boats?","Documents discussing piracy on any body of water are relevant.  Documents discussing the legal taking of ships or their contents by a national authority are non-relevant.  Clashes between fishing vessels over fishing are not relevant, unless one vessel is boarded.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
20,dr0ybzg5,,0,1,3,time_pressure,1,Introduction,88.202.161.242,2018-04-04 17:48:54.770564+00:00,1,,,0,20,,,,,,,,,,,,,,,,,,,,Population Growth,What measures have been taken worldwide and what countries have been effective in curbing population growth?,"A relevant document must describe an actual case in which population measures have been taken and their results are known. The reduction measures must have been actively pursued; that is, passive events such as disease or famine involuntarily reducing the population are not relevant.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
21,5inpusle,,0,1,3,time_pressure,1,Introduction,88.202.161.242,2018-04-04 17:49:18.633296+00:00,1,,,0,21,,,,,,,,,,,,,,,,,,,,Wildlife Extinction,The spotted owl episode in America highlighted U.S. efforts to prevent the extinction of wildlife species. What is not well known is the effort of other countries to prevent the demise of species native to their countries. What other countries have begun efforts to prevent such declines?,"A relevant item will specify the country, the involved species, and steps taken to save the species.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
22,adwockaj,,0,3,3,time_pressure,1,Questionnaire,88.202.161.242,2018-04-04 18:46:00.034206+00:00,1,,,0,22,,,,,,,,,,,,,,,,,,,,Journalist Risk,"Identify instances where a journalist has been put at risk (e.g., killed, arrested or taken hostage) in the performance of his work.","Any document identifying an instance where a journalist or correspondent has been killed, arrested or taken hostage in the performance of his work is relevant.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
23,inffuqoy,,0,1,3,time_pressure,1,Introduction,88.202.161.242,2018-04-04 18:47:01.591982+00:00,1,,,0,23,,,,,,,,,,,,,,,,,,,,Piracy,"What modern instances have there been of old fashioned piracy, the boarding or taking control of boats?","Documents discussing piracy on any body of water are relevant.  Documents discussing the legal taking of ships or their contents by a national authority are non-relevant.  Clashes between fishing vessels over fishing are not relevant, unless one vessel is boarded.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
24,107x0iz0,,0,1,3,time_pressure,1,Introduction,88.202.161.242,2018-04-04 18:47:28.414678+00:00,1,,,0,24,,,,,,,,,,,,,,,,,,,,Population Growth,What measures have been taken worldwide and what countries have been effective in curbing population growth?,"A relevant document must describe an actual case in which population measures have been taken and their results are known. The reduction measures must have been actively pursued; that is, passive events such as disease or famine involuntarily reducing the population are not relevant.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
25,kbjx78ea,,0,4,3,time_pressure,1,Questionnaire,145.94.155.147,2018-04-06 08:40:49.326955+00:00,1,,,0,25,27,male,student,2,6,6,5,6,5,122,",XIE19970329.0126,APW19990925.0203",2,1,3,2,11003,56604,0.0,1.0,Wildlife Extinction,The spotted owl episode in America highlighted U.S. efforts to prevent the extinction of wildlife species. What is not well known is the effort of other countries to prevent the demise of species native to their countries. What other countries have begun efforts to prevent such declines?,"A relevant item will specify the country, the involved species, and steps taken to save the species.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
26,ga8zee0f,,0,1,3,time_pressure,1,Introduction,145.94.155.147,2018-04-06 08:54:41.686234+00:00,1,,,0,26,,,,,,,,,,,,,,,,,,,,Journalist Risk,"Identify instances where a journalist has been put at risk (e.g., killed, arrested or taken hostage) in the performance of his work.","Any document identifying an instance where a journalist or correspondent has been killed, arrested or taken hostage in the performance of his work is relevant.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
27,oaihtpz2,,0,1,3,time_pressure,1,Introduction,145.94.155.147,2018-04-06 08:54:51.625849+00:00,1,,,0,27,,,,,,,,,,,,,,,,,,,,Piracy,"What modern instances have there been of old fashioned piracy, the boarding or taking control of boats?","Documents discussing piracy on any body of water are relevant.  Documents discussing the legal taking of ships or their contents by a national authority are non-relevant.  Clashes between fishing vessels over fishing are not relevant, unless one vessel is boarded.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
28,re7f93cw,,0,1,3,time_pressure,1,Introduction,80.56.95.87,2018-04-07 14:50:49.196063+00:00,1,,,0,28,,,,,,,,,,,,,,,,,,,,Population Growth,What measures have been taken worldwide and what countries have been effective in curbing population growth?,"A relevant document must describe an actual case in which population measures have been taken and their results are known. The reduction measures must have been actively pursued; that is, passive events such as disease or famine involuntarily reducing the population are not relevant.",0,2,2,0,1,2,1,juuma90u,apone,,,,,0
29,1fwe2zzc,,0,1,3,time_pressure,1,Introduction,80.56.95.87,2018-04-07 14:51:05.929957+00:00,1,,,0,29,,,,,,,,,,,,,,,,,,,,Wildlife Extinction,The spotted owl episode in America highlighted U.S. efforts to prevent the extinction of wildlife species. What is not well known is the effort of other countries to prevent the demise of species native to their countries. What other countries have begun efforts to prevent such declines?,"A relevant item will specify the country, the involved species, and steps taken to save the species.",0,2,2,0,1,2,1,juuma90u,apone,,,,,0
30,29k8vi3n,,0,1,3,time_pressure,1,Introduction,80.56.95.87,2018-04-08 13:07:22.072410+00:00,1,,,0,30,,,,,,,,,,,,,,,,,,,,Journalist Risk,"Identify instances where a journalist has been put at risk (e.g., killed, arrested or taken hostage) in the performance of his work.","Any document identifying an instance where a journalist or correspondent has been killed, arrested or taken hostage in the performance of his work is relevant.",0,2,2,0,1,2,1,juuma90u,apone,,,,,0
31,zl5qo2jq,,0,3,3,time_pressure,1,Questionnaire,80.114.141.49,2018-04-08 20:32:34.357768+00:00,1,,,0,31,,,,,,,,,,,,,,,,,,,,Piracy,"What modern instances have there been of old fashioned piracy, the boarding or taking control of boats?","Documents discussing piracy on any body of water are relevant.  Documents discussing the legal taking of ships or their contents by a national authority are non-relevant.  Clashes between fishing vessels over fishing are not relevant, unless one vessel is boarded.",0,2,2,0,1,2,1,juuma90u,apone,,,,,0
32,jcmivc64,,0,4,3,time_pressure,1,Questionnaire,89.99.88.70,2018-04-09 08:45:00.773344+00:00,1,,,0,32,22,male,student,6,3,2,7,7,7,300,",XIE19971105.0215,XIE19970204.0117,XIE19991013.0174,XIE19970821.0131",4,1,10,2,143208,93735,0.0,1.0,Population Growth,What measures have been taken worldwide and what countries have been effective in curbing population growth?,"A relevant document must describe an actual case in which population measures have been taken and their results are known. The reduction measures must have been actively pursued; that is, passive events such as disease or famine involuntarily reducing the population are not relevant.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
33,pqsfgho2,,0,4,3,time_pressure,1,Questionnaire,80.112.172.134,2018-04-09 08:46:47.910456+00:00,1,,,0,33,24,male,student,5,5,6,7,6,7,300,",XIE19971011.0245,XIE19981231.0006,XIE19981218.0059,XIE19990211.0261,XIE20000402.0062,XIE19991102.0229,APW20000411.0224,XIE19980217.0309,XIE19980427.0212,APW19990729.0236,XIE19970506.0256,XIE19971202.0315",13,5,17,6,110407,145410,2.85300925925926,1.0,Wildlife Extinction,The spotted owl episode in America highlighted U.S. efforts to prevent the extinction of wildlife species. What is not well known is the effort of other countries to prevent the demise of species native to their countries. What other countries have begun efforts to prevent such declines?,"A relevant item will specify the country, the involved species, and steps taken to save the species.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
34,ydvhwku3,,0,4,3,time_pressure,1,Questionnaire,80.112.172.134,2018-04-09 08:54:28.200252+00:00,1,,,0,34,24,male,student,3,6,3,7,7,6,300,",APW19980828.1026,XIE19970315.0123,XIE19991022.0269,NYT19990922.0006,APW19990922.0002,APW20000608.0061,APW20000422.0050,APW20000711.0071,XIE20000912.0076",9,3,17,5,93908,186807,2.0,1.0,Journalist Risk,"Identify instances where a journalist has been put at risk (e.g., killed, arrested or taken hostage) in the performance of his work.","Any document identifying an instance where a journalist or correspondent has been killed, arrested or taken hostage in the performance of his work is relevant.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
35,2sgt4sq2,,0,4,3,time_pressure,1,Questionnaire,80.112.147.230,2018-04-09 09:05:49.180570+00:00,1,,,0,35,22,female,student,6,4,1,2,1,4,425,",XIE19970715.0206,XIE19990203.0111,XIE19990626.0118,XIE19981018.0019,APW20000520.0025,NYT20000821.0338,XIE19960927.0212,XIE19970122.0108",8,7,16,18,168242,212275,3.35532407407407,1.0,Piracy,"What modern instances have there been of old fashioned piracy, the boarding or taking control of boats?","Documents discussing piracy on any body of water are relevant.  Documents discussing the legal taking of ships or their contents by a national authority are non-relevant.  Clashes between fishing vessels over fishing are not relevant, unless one vessel is boarded.",0,2,2,0,1,2,1,juuma90u,apone,,,,,0
36,4irayhdl,,0,4,3,time_pressure,1,Questionnaire,145.94.154.62,2018-04-09 09:24:47.022555+00:00,1,,,0,36,22,female,student,5,2,4,4,4,3,310,",XIE19960807.0127,APW19981212.0657,XIE19970711.0170",3,6,7,6,112382,167159,3.68865740740741,1.0,Population Growth,What measures have been taken worldwide and what countries have been effective in curbing population growth?,"A relevant document must describe an actual case in which population measures have been taken and their results are known. The reduction measures must have been actively pursued; that is, passive events such as disease or famine involuntarily reducing the population are not relevant.",0,2,2,0,1,2,1,juuma90u,apone,,,,,0
37,139ddk18,,0,4,3,time_pressure,1,Questionnaire,145.94.230.154,2018-04-09 10:01:16.988690+00:00,1,,,0,37,26,male,student,2,6,6,5,6,5,900,",XIE19980217.0309,XIE19990607.0183,XIE19971202.0315,NYT19990314.0080,XIE19960604.0216,XIE19980605.0222,XIE20000411.0031,XIE20000402.0062,XIE20000901.0259,XIE19960604.0217,XIE19990503.0124,XIE19991125.0260,XIE19970809.0215,XIE19990609.0202,XIE20000524.0176,XIE20000508.0141,XIE19971111.0522,APW19990729.0236",18,3,24,6,620858,245604,0.492251463103713,1.0,Wildlife Extinction,The spotted owl episode in America highlighted U.S. efforts to prevent the extinction of wildlife species. What is not well known is the effort of other countries to prevent the demise of species native to their countries. What other countries have begun efforts to prevent such declines?,"A relevant item will specify the country, the involved species, and steps taken to save the species.",0,2,2,0,1,2,1,juuma90u,apone,,,,,0
38,h4icjgfi,,0,3,3,time_pressure,1,Questionnaire,80.112.159.113,2018-04-09 10:04:38.459875+00:00,1,,,0,38,,,,,,,,,,,,,,,,,,,,Journalist Risk,"Identify instances where a journalist has been put at risk (e.g., killed, arrested or taken hostage) in the performance of his work.","Any document identifying an instance where a journalist or correspondent has been killed, arrested or taken hostage in the performance of his work is relevant.",0,2,2,0,1,2,1,juuma90u,apone,,,,,0
39,hqlt77bp,,0,4,3,time_pressure,1,Questionnaire,80.112.159.113,2018-04-09 10:05:05.689921+00:00,1,,,0,39,28,male,student,4,6,4,2,3,2,128,",XIE19990203.0111,XIE19990626.0118,XIE19981018.0019,APW20000520.0025,XIE19980715.0276",5,2,7,3,37912,72817,0.0,1.0,Piracy,"What modern instances have there been of old fashioned piracy, the boarding or taking control of boats?","Documents discussing piracy on any body of water are relevant.  Documents discussing the legal taking of ships or their contents by a national authority are non-relevant.  Clashes between fishing vessels over fishing are not relevant, unless one vessel is boarded.",0,2,2,0,1,2,1,juuma90u,apone,,,,,0
40,x4o2t74h,,0,1,3,time_pressure,1,Introduction,86.93.227.51,2018-04-09 10:14:11.022951+00:00,1,,,0,40,,,,,,,,,,,,,,,,,,,,Population Growth,What measures have been taken worldwide and what countries have been effective in curbing population growth?,"A relevant document must describe an actual case in which population measures have been taken and their results are known. The reduction measures must have been actively pursued; that is, passive events such as disease or famine involuntarily reducing the population are not relevant.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
41,i1v9mzzq,,0,4,3,time_pressure,1,Questionnaire,145.5.205.165,2018-04-09 11:37:18.447161+00:00,1,,,0,41,24,male,student,7,1,1,5,5,5,149,,0,6,0,6,0,108722,2.75197367919119,1.0,Wildlife Extinction,The spotted owl episode in America highlighted U.S. efforts to prevent the extinction of wildlife species. What is not well known is the effort of other countries to prevent the demise of species native to their countries. What other countries have begun efforts to prevent such declines?,"A relevant item will specify the country, the involved species, and steps taken to save the species.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
42,z2ixpyxt,,0,1,3,time_pressure,1,Introduction,80.112.155.24,2018-04-09 12:36:54.196336+00:00,1,,,0,42,,,,,,,,,,,,,,,,,,,,Journalist Risk,"Identify instances where a journalist has been put at risk (e.g., killed, arrested or taken hostage) in the performance of his work.","Any document identifying an instance where a journalist or correspondent has been killed, arrested or taken hostage in the performance of his work is relevant.",0,2,2,0,1,2,1,juuma90u,apone,,,,,0
43,2kn2x7ic,,0,1,3,time_pressure,1,Introduction,80.112.155.24,2018-04-09 12:37:02.569947+00:00,1,,,0,43,,,,,,,,,,,,,,,,,,,,Piracy,"What modern instances have there been of old fashioned piracy, the boarding or taking control of boats?","Documents discussing piracy on any body of water are relevant.  Documents discussing the legal taking of ships or their contents by a national authority are non-relevant.  Clashes between fishing vessels over fishing are not relevant, unless one vessel is boarded.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
44,ni0f50kd,,0,1,3,time_pressure,1,Introduction,80.112.155.24,2018-04-09 12:37:05.842564+00:00,1,,,0,44,,,,,,,,,,,,,,,,,,,,Population Growth,What measures have been taken worldwide and what countries have been effective in curbing population growth?,"A relevant document must describe an actual case in which population measures have been taken and their results are known. The reduction measures must have been actively pursued; that is, passive events such as disease or famine involuntarily reducing the population are not relevant.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
45,sb6v3sgm,,0,3,3,time_pressure,1,Questionnaire,87.214.70.136,2018-04-09 16:44:56.898445+00:00,1,,,0,45,,,,,,,,,,,,,,,,,,,,Wildlife Extinction,The spotted owl episode in America highlighted U.S. efforts to prevent the extinction of wildlife species. What is not well known is the effort of other countries to prevent the demise of species native to their countries. What other countries have begun efforts to prevent such declines?,"A relevant item will specify the country, the involved species, and steps taken to save the species.",0,2,2,0,1,2,1,juuma90u,apone,,,,,0
46,f7uyoqcg,,0,4,3,time_pressure,1,Questionnaire,87.214.70.136,2018-04-09 16:46:08.320817+00:00,1,,,0,46,23,male,student,3,4,6,6,6,4,748,",APW19980828.1026,APW19980721.0098,APW20000427.0059,XIE20000512.0109,APW20000802.0115,XIE19990817.0115,XIE19960811.0120",7,9,13,10,183324,537632,3.8287037037037,1.0,Journalist Risk,"Identify instances where a journalist has been put at risk (e.g., killed, arrested or taken hostage) in the performance of his work.","Any document identifying an instance where a journalist or correspondent has been killed, arrested or taken hostage in the performance of his work is relevant.",0,2,2,0,1,2,1,juuma90u,apone,,,,,0
47,uz83r04b,,0,4,3,time_pressure,1,Questionnaire,80.114.140.51,2018-04-09 21:17:30.516623+00:00,1,,,0,47,23,male,student,4,3,4,5,5,5,62,,0,2,0,2,0,37003,1.0,1.0,Piracy,"What modern instances have there been of old fashioned piracy, the boarding or taking control of boats?","Documents discussing piracy on any body of water are relevant.  Documents discussing the legal taking of ships or their contents by a national authority are non-relevant.  Clashes between fishing vessels over fishing are not relevant, unless one vessel is boarded.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
48,x3xirunj,,0,1,3,time_pressure,1,Introduction,80.114.140.51,2018-04-09 21:20:03.650489+00:00,1,,,0,48,,,,,,,,,,,,,,,,,,,,Population Growth,What measures have been taken worldwide and what countries have been effective in curbing population growth?,"A relevant document must describe an actual case in which population measures have been taken and their results are known. The reduction measures must have been actively pursued; that is, passive events such as disease or famine involuntarily reducing the population are not relevant.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
49,uetldo3r,,0,1,3,time_pressure,1,Introduction,80.114.140.51,2018-04-09 21:20:29.266064+00:00,1,,,0,49,,,,,,,,,,,,,,,,,,,,Wildlife Extinction,The spotted owl episode in America highlighted U.S. efforts to prevent the extinction of wildlife species. What is not well known is the effort of other countries to prevent the demise of species native to their countries. What other countries have begun efforts to prevent such declines?,"A relevant item will specify the country, the involved species, and steps taken to save the species.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
50,0rvzyvlj,,0,1,3,time_pressure,1,Introduction,80.114.140.51,2018-04-09 21:20:33.053692+00:00,1,,,0,50,,,,,,,,,,,,,,,,,,,,Journalist Risk,"Identify instances where a journalist has been put at risk (e.g., killed, arrested or taken hostage) in the performance of his work.","Any document identifying an instance where a journalist or correspondent has been killed, arrested or taken hostage in the performance of his work is relevant.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
51,xib8sh2q,,0,1,3,time_pressure,1,Introduction,80.114.140.51,2018-04-09 21:20:48.694876+00:00,1,,,0,51,,,,,,,,,,,,,,,,,,,,Piracy,"What modern instances have there been of old fashioned piracy, the boarding or taking control of boats?","Documents discussing piracy on any body of water are relevant.  Documents discussing the legal taking of ships or their contents by a national authority are non-relevant.  Clashes between fishing vessels over fishing are not relevant, unless one vessel is boarded.",0,2,2,0,1,2,1,juuma90u,apone,,,,,0
52,lbstagrq,,0,1,3,time_pressure,1,Introduction,80.114.140.51,2018-04-09 21:21:04.267587+00:00,1,,,0,52,,,,,,,,,,,,,,,,,,,,Population Growth,What measures have been taken worldwide and what countries have been effective in curbing population growth?,"A relevant document must describe an actual case in which population measures have been taken and their results are known. The reduction measures must have been actively pursued; that is, passive events such as disease or famine involuntarily reducing the population are not relevant.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
