,participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.age,player.gender,player.profession,player.difficult,player.performed_well,player.interesting,player.feel_time_pressure,player.need_work_fast,player.feel_hurried_rushed,player.total_task_time,player.relevant_marks,player.marked_as_relevant,player.queries_issued,player.documents_viewed,player.serps_viewed,player.document_view_time,player.serp_view_time,player.hover_depth,player.current_hover_depth,player.topicname,player.topicdes,player.topicnar,player.treatment,player.subsession_id,player.group_id,player.payoff,group.id_in_subsession,group.subsession_id,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
111,12,sgz6ouuh,,0,4,3,time_pressure,1.0,Questionnaire,185.167.255.254,2018-04-04 06:44:07.632359+00:00,1,,,0,12,39.0,male,working,2.0,4.0,5.0,5.0,5.0,5.0,106.0,",XIE19970304.0330,XIE19971029.0194",2.0,1.0,4.0,2.0,39819.0,29932.0,0.0,1.0,Population Growth,What measures have been taken worldwide and what countries have been effective in curbing population growth?,"A relevant document must describe an actual case in which population measures have been taken and their results are known. The reduction measures must have been actively pursued; that is, passive events such as disease or famine involuntarily reducing the population are not relevant.",1,3,3,0,1,3,1,1rtfn3fg,tom-daniel,,,,,0
112,13,ek3crx3f,,0,4,3,time_pressure,1.0,Questionnaire,145.94.44.45,2018-04-04 07:04:15.963579+00:00,1,,,0,13,22.0,male,working,5.0,3.0,3.0,6.0,6.0,5.0,127.0,",XIE20000518.0073,APW19980907.0515",2.0,2.0,2.0,2.0,48594.0,41202.0,0.0,1.0,Wildlife Extinction,The spotted owl episode in America highlighted U.S. efforts to prevent the extinction of wildlife species. What is not well known is the effort of other countries to prevent the demise of species native to their countries. What other countries have begun efforts to prevent such declines?,"A relevant item will specify the country, the involved species, and steps taken to save the species.",0,3,3,0,1,3,1,1rtfn3fg,tom-daniel,,,,,0
117,18,rk5bcu27,,0,4,3,time_pressure,1.0,Questionnaire,185.167.255.254,2018-04-04 09:36:36.121934+00:00,1,,,0,18,42.0,male,working,4.0,2.0,4.0,5.0,6.0,6.0,300.0,",NYT20000301.0344,NYT20000203.0258,APW19980828.1026,XIE19970315.0123,APW19980827.1082,XIE19991022.0269,XIE20000705.0027,APW19990922.0003,APW20000311.0093",9.0,2.0,10.0,4.0,111975.0,136923.0,1.0,1.0,Journalist Risk,"Identify instances where a journalist has been put at risk (e.g., killed, arrested or taken hostage) in the performance of his work.","Any document identifying an instance where a journalist or correspondent has been killed, arrested or taken hostage in the performance of his work is relevant.",1,3,3,0,1,3,1,1rtfn3fg,tom-daniel,,,,,0
118,19,aogwt4ao,,0,4,3,time_pressure,1.0,Questionnaire,185.167.255.254,2018-04-04 10:01:16.904603+00:00,1,,,0,19,32.0,male,working,4.0,6.0,4.0,5.0,5.0,6.0,133.0,",XIE19990626.0118,XIE19981002.0015",2.0,1.0,4.0,2.0,52046.0,56592.0,0.0,1.0,Piracy,"What modern instances have there been of old fashioned piracy, the boarding or taking control of boats?","Documents discussing piracy on any body of water are relevant.  Documents discussing the legal taking of ships or their contents by a national authority are non-relevant.  Clashes between fishing vessels over fishing are not relevant, unless one vessel is boarded.",1,3,3,0,1,3,1,1rtfn3fg,tom-daniel,,,,,0
122,23,9poh1zci,,0,4,3,time_pressure,1.0,Questionnaire,80.112.163.62,2018-04-04 10:57:54.933279+00:00,1,,,0,23,23.0,male,student,3.0,6.0,4.0,5.0,4.0,5.0,701.0,",XIE19960304.0224,XIE20000424.0151,XIE19960821.0175,XIE19970106.0054,APW19980619.1054,XIE19980826.0093",6.0,4.0,11.0,5.0,283710.0,337909.0,0.0,1.0,Piracy,"What modern instances have there been of old fashioned piracy, the boarding or taking control of boats?","Documents discussing piracy on any body of water are relevant.  Documents discussing the legal taking of ships or their contents by a national authority are non-relevant.  Clashes between fishing vessels over fishing are not relevant, unless one vessel is boarded.",0,3,3,0,1,3,1,1rtfn3fg,tom-daniel,,,,,0
125,26,195xmqi9,,0,4,3,time_pressure,1.0,Questionnaire,77.164.91.107,2018-04-04 13:50:13.334688+00:00,1,,,0,26,23.0,female,working,2.0,4.0,6.0,5.0,6.0,5.0,480.0,",APW20000608.0061,APW20000422.0050,XIE19981020.0161,XIE19990817.0115,XIE20000124.0013,XIE19990528.0019",6.0,5.0,11.0,5.0,46733.0,429048.0,3.0,1.0,Journalist Risk,"Identify instances where a journalist has been put at risk (e.g., killed, arrested or taken hostage) in the performance of his work.","Any document identifying an instance where a journalist or correspondent has been killed, arrested or taken hostage in the performance of his work is relevant.",0,3,3,0,1,3,1,1rtfn3fg,tom-daniel,,,,,0
128,29,4iykcz5q,,0,4,3,time_pressure,1.0,Questionnaire,145.94.217.184,2018-04-04 18:05:20.296933+00:00,1,,,0,29,22.0,male,student,5.0,5.0,3.0,7.0,7.0,6.0,223.0,",APW19980907.0515,XIE20000531.0152,APW19980720.0008,XIE19970802.0151,XIE19961205.0069,XIE19970727.0067,APW19990518.0300",7.0,3.0,8.0,5.0,54258.0,135405.0,0.628205128205128,1.0,Wildlife Extinction,The spotted owl episode in America highlighted U.S. efforts to prevent the extinction of wildlife species. What is not well known is the effort of other countries to prevent the demise of species native to their countries. What other countries have begun efforts to prevent such declines?,"A relevant item will specify the country, the involved species, and steps taken to save the species.",1,3,3,0,1,3,1,1rtfn3fg,tom-daniel,,,,,0
133,34,oyq1knf4,,0,4,3,time_pressure,1.0,Questionnaire,185.65.134.162,2018-04-04 18:16:21.927434+00:00,1,,,0,34,22.0,male,student,7.0,2.0,4.0,6.0,6.0,6.0,300.0,",APW19980828.1026,XIE19991022.0269,NYT19990922.0006,APW20000313.0241,XIE19971225.0143,APW20000228.0066",7.0,2.0,14.0,2.0,240323.0,39731.0,1.0,1.0,Journalist Risk,"Identify instances where a journalist has been put at risk (e.g., killed, arrested or taken hostage) in the performance of his work.","Any document identifying an instance where a journalist or correspondent has been killed, arrested or taken hostage in the performance of his work is relevant.",1,3,3,0,1,3,1,1rtfn3fg,tom-daniel,,,,,0
136,37,vi6wro0k,,0,4,3,time_pressure,1.0,Questionnaire,80.112.170.26,2018-04-04 18:27:32.962879+00:00,1,,,0,37,21.0,female,student,5.0,3.0,5.0,1.0,5.0,3.0,113.0,",XIE19960817.0128,XIE19971122.0172,XIE19980416.0171,XIE20000907.0130,APW19980907.0515",5.0,6.0,5.0,7.0,24611.0,39605.0,1.0,1.0,Wildlife Extinction,The spotted owl episode in America highlighted U.S. efforts to prevent the extinction of wildlife species. What is not well known is the effort of other countries to prevent the demise of species native to their countries. What other countries have begun efforts to prevent such declines?,"A relevant item will specify the country, the involved species, and steps taken to save the species.",0,3,3,0,1,3,1,1rtfn3fg,tom-daniel,,,,,0
137,38,brjk42n8,,0,4,3,time_pressure,1.0,Questionnaire,84.80.46.155,2018-04-04 18:36:24.999194+00:00,1,,,0,38,21.0,female,student,2.0,4.0,6.0,5.0,3.0,3.0,300.0,",APW19981127.0942,APW20000331.0133,APW20000513.0180,NYT19990411.0100,APW19980830.0263,XIE20000722.0019,XIE20000124.0013",7.0,6.0,10.0,8.0,74867.0,147344.0,3.8322368421052597,0.40530303030303,Journalist Risk,"Identify instances where a journalist has been put at risk (e.g., killed, arrested or taken hostage) in the performance of his work.","Any document identifying an instance where a journalist or correspondent has been killed, arrested or taken hostage in the performance of his work is relevant.",1,3,3,0,1,3,1,1rtfn3fg,tom-daniel,,,,,0
141,42,2r5lt9gw,,0,4,3,time_pressure,1.0,Questionnaire,145.94.196.34,2018-04-05 10:59:43.526000+00:00,1,,,0,42,24.0,male,student,1.0,6.0,3.0,2.0,2.0,2.0,203.0,",APW19980828.1026,XIE19970315.0123,APW19980827.1082,XIE19991022.0269,XIE20000705.0027,NYT19990922.0006,APW19990922.0002,APW20000608.0061,APW20000422.0050,XIE19990621.0086,XIE19981020.0161,APW20000711.0071",12.0,17.0,13.0,19.0,57898.0,119988.0,10.677579365079401,1.0,Journalist Risk,"Identify instances where a journalist has been put at risk (e.g., killed, arrested or taken hostage) in the performance of his work.","Any document identifying an instance where a journalist or correspondent has been killed, arrested or taken hostage in the performance of his work is relevant.",0,3,3,0,1,3,1,1rtfn3fg,tom-daniel,,,,,0
142,43,qie92rsn,,0,4,3,time_pressure,1.0,Questionnaire,145.94.162.155,2018-04-05 11:00:47.487487+00:00,1,,,0,43,21.0,male,student,5.0,7.0,5.0,5.0,6.0,7.0,900.0,",XIE20000821.0076,XIE20000202.0190,XIE19990304.0086,APW19980610.1463,XIE19981211.0039,XIE19990203.0111,XIE19980715.0276,XIE19990307.0133,APW20000518.0021,XIE19980428.0063,NYT20000222.0503,XIE19990818.0111,NYT20000221.0307,APW20000520.0025,NYT20000818.0166,NYT20000821.0338",16.0,20.0,26.0,22.0,287533.0,558054.0,9.396111903105439,1.0,Piracy,"What modern instances have there been of old fashioned piracy, the boarding or taking control of boats?","Documents discussing piracy on any body of water are relevant.  Documents discussing the legal taking of ships or their contents by a national authority are non-relevant.  Clashes between fishing vessels over fishing are not relevant, unless one vessel is boarded.",0,3,3,0,1,3,1,1rtfn3fg,tom-daniel,,,,,0
143,44,rpbb5pc0,,0,4,3,time_pressure,1.0,Questionnaire,88.202.160.112,2018-04-05 11:01:37.477736+00:00,1,,,0,44,21.0,male,student,6.0,4.0,6.0,6.0,3.0,6.0,300.0,",XIE19970204.0117,XIE19970821.0131",2.0,7.0,7.0,7.0,123519.0,134912.0,3.0,0.887268521167614,Population Growth,What measures have been taken worldwide and what countries have been effective in curbing population growth?,"A relevant document must describe an actual case in which population measures have been taken and their results are known. The reduction measures must have been actively pursued; that is, passive events such as disease or famine involuntarily reducing the population are not relevant.",1,3,3,0,1,3,1,1rtfn3fg,tom-daniel,,,,,0
144,45,5v40595o,,0,4,3,time_pressure,1.0,Questionnaire,145.52.152.126,2018-04-05 11:01:55.102989+00:00,1,,,0,45,22.0,male,student,5.0,3.0,6.0,6.0,6.0,6.0,183.0,",NYT19990118.0219,APW20000402.0019",2.0,2.0,2.0,2.0,11490.0,69106.0,1.0,1.0,Wildlife Extinction,The spotted owl episode in America highlighted U.S. efforts to prevent the extinction of wildlife species. What is not well known is the effort of other countries to prevent the demise of species native to their countries. What other countries have begun efforts to prevent such declines?,"A relevant item will specify the country, the involved species, and steps taken to save the species.",1,3,3,0,1,3,1,1rtfn3fg,tom-daniel,,,,,0
146,47,kqemqlos,,0,4,3,time_pressure,1.0,Questionnaire,86.92.180.229,2018-04-05 11:19:02.130535+00:00,1,,,0,47,23.0,female,student,3.0,4.0,6.0,6.0,5.0,5.0,222.0,",APW19980916.0687,XIE19981018.0019,XIE19990203.0111",3.0,8.0,4.0,9.0,55801.0,138808.0,3.0,0.498423430296752,Piracy,"What modern instances have there been of old fashioned piracy, the boarding or taking control of boats?","Documents discussing piracy on any body of water are relevant.  Documents discussing the legal taking of ships or their contents by a national authority are non-relevant.  Clashes between fishing vessels over fishing are not relevant, unless one vessel is boarded.",0,3,3,0,1,3,1,1rtfn3fg,tom-daniel,,,,,0
158,59,zyc9ze44,,0,4,3,time_pressure,1.0,Questionnaire,88.202.161.2,2018-04-05 22:57:54.381621+00:00,1,,,0,59,25.0,male,student,2.0,5.0,5.0,7.0,6.0,6.0,143.0,",XIE20000821.0076,XIE20000424.0211,XIE20000202.0190,NYT20000818.0166,NYT20000821.0338",5.0,1.0,5.0,3.0,33108.0,57213.0,0.0,1.0,Piracy,"What modern instances have there been of old fashioned piracy, the boarding or taking control of boats?","Documents discussing piracy on any body of water are relevant.  Documents discussing the legal taking of ships or their contents by a national authority are non-relevant.  Clashes between fishing vessels over fishing are not relevant, unless one vessel is boarded.",1,3,3,0,1,3,1,1rtfn3fg,tom-daniel,,,,,0
166,67,9sanfu4t,,0,4,3,time_pressure,1.0,Questionnaire,145.94.179.98,2018-04-06 09:02:04.370836+00:00,1,,,0,67,21.0,female,student,2.0,6.0,5.0,2.0,2.0,2.0,622.0,",XIE19970819.0173,XIE20000217.0109,XIE20000428.0052,APW19980916.0687,XIE19991124.0236,XIE19981002.0015",6.0,7.0,11.0,9.0,236215.0,349162.0,5.00630630029214,1.0,Piracy,"What modern instances have there been of old fashioned piracy, the boarding or taking control of boats?","Documents discussing piracy on any body of water are relevant.  Documents discussing the legal taking of ships or their contents by a national authority are non-relevant.  Clashes between fishing vessels over fishing are not relevant, unless one vessel is boarded.",0,3,3,0,1,3,1,1rtfn3fg,tom-daniel,,,,,0
169,70,5dwa1mf1,,0,4,3,time_pressure,1.0,Questionnaire,145.94.169.221,2018-04-06 09:46:08.832897+00:00,1,,,0,70,25.0,male,student,2.0,3.0,6.0,6.0,6.0,7.0,300.0,",XIE20000912.0076,NYT20000301.0344,APW19980828.1026,XIE19970315.0123,APW19980827.1082,XIE19991022.0269,XIE20000705.0027,NYT19990922.0006,APW20000313.0241,APW19990922.0002,APW19990922.0003,APW20000608.0061,APW20000422.0050",13.0,3.0,14.0,3.0,72819.0,170248.0,2.0,0.6835648042184339,Journalist Risk,"Identify instances where a journalist has been put at risk (e.g., killed, arrested or taken hostage) in the performance of his work.","Any document identifying an instance where a journalist or correspondent has been killed, arrested or taken hostage in the performance of his work is relevant.",1,3,3,0,1,3,1,1rtfn3fg,tom-daniel,,,,,0
173,74,jg19bbw3,,0,4,3,time_pressure,1.0,Questionnaire,80.112.170.43,2018-04-06 13:52:22.240722+00:00,1,,,0,74,24.0,male,student,2.0,4.0,3.0,6.0,6.0,6.0,300.0,",APW19980828.1026,XIE19970315.0123,APW19980827.1082,XIE19991022.0269,APW20000608.0061,APW20000422.0050",6.0,4.0,7.0,4.0,111347.0,109272.0,2.4199561403508802,0.0,Journalist Risk,"Identify instances where a journalist has been put at risk (e.g., killed, arrested or taken hostage) in the performance of his work.","Any document identifying an instance where a journalist or correspondent has been killed, arrested or taken hostage in the performance of his work is relevant.",1,3,3,0,1,3,1,1rtfn3fg,tom-daniel,,,,,0
